FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY,X-koord.,Y-koord.
"5234","2112270",E1125,P,"2544576","6677908","2544563","6677901",Pikkalantie,Pickalavägen,Pikkalantie,Pickalavägen,"0","0","1","04",24.8007535100,60.2102596600
"5235","2112271",E1126,P,"2544449","6678140","2544442","6678139",Pikkalankulma,Pickalahörnet,Pikkalantie,Pickalavägen,"0","0","1","04",24.7985137900,60.2123555400
"5236","2112272",E1127,P,"2544443","6678078","2544467","6678091",Pikkalankulma,Pickalahörnet,Pikkalantie,Pickalavägen,"0","0","1","04",24.7983920600,60.2117997800
"5237","2112296",E1129,P,"2545238","6678673","2545233","6678689",Ratsutori,Ryttartorget,Leppävaarankatu,Albergagatan,"1","1","1","04",24.8128617300,60.2170525500
"5238","2112900",XE1105,P,"2544644","6678701","2544644","6678699",Ruusutorpan koulu,Ruusutorpan koulu,Leppävaarankatu 19,Albergagatan 19,"0","0","0","99",24.8021535200,60.2173690200
"5239","2113201",E1990,P,"2545404","6679174","2545406","6679156",Arkadianportaat,Arkadiatrappan,Mestarinkatu,Mestargatan,"1","1","1","04",24.8159676300,60.2215303700
"5240","2113202",E1992,P,"2545635","6679446","2545621","6679458",Laturintörmä,Laddarbrinken,Mestarinkatu,Mastargatan,"1","1","1","04",24.8201958100,60.2239457300
"5241","2113203",E1993,P,"2545434","6679259","2545440","6679272",Ylänteenkatu,Ylännegatan,Mestarinkatu,Mästargatan,"1","1","1","04",24.8165277900,60.2222898700
"5242","2113204",E1132,P,"2546845","6679131","2546834","6679149",Mäkkylän asema,Mäkkylä station,Turuntie,Åbovägen,"1","1","1","01",24.8419532600,60.2209821300
"5243","2113205",E1133,P,"2546337","6679095","2546342","6679061",Kalkkipellonmäki,Kalkåkersbacken,Turuntie,Åbovägen,"1","1","1","01",24.8327809300,60.2207168600
"5244","2113206",E1134,P,"2546468","6679046","2546466","6679073",Kalkkipellonmäki,Kalkåkersbacken,Turuntie,Åbovägen,"1","1","1","01",24.8351329300,60.2202622700
"5245","2113207",E1135,P,"2545874","6679395","2545853","6679399",Postipuun koulu,Positpuu School,Ruutikuja,Krutgränden,"0","0","1","04",24.8244962000,60.2234613200
"5246","2113208",E1136,P,"2545872","6679417","2545863","6679434",Postipuun koulu,Postipuu School,Ruutikuja,Krutgränden,"1","1","1","04",24.8244650700,60.2236589800
"5247","2113209",E1137,P,"2545765","6679145","2545749","6679166",Postipuunkuja,Postträdsgränden,Postipuuntie,Postträdsvägen,"0","0","1","04",24.8224735500,60.2212299200
"5248","2113210",E1138,P,"2545745","6679177","2545757","6679166",Postipuunkuja,Postträdsgränden,Postipuuntie,Postträdsvägen,"1","1","1","04",24.8221199400,60.2215193300
"5249","2113211",E1969,P,"2545968","6679714","2545949","6679715",Mäkkyläntie,Mäkkylävägen,Mäkkylän puistotie,Mäkkyläallen,"1","1","1","04",24.8262640700,60.2263136100
"5250","2113212",E1139,P,"2545493","6679209","2545516","6679221",Postipuu,Postträdet,Armas Launiksen katu,Armas Launis gata,"0","0","1","04",24.8175810000,60.2218345900
"5251","2113213",E1970,P,"2545930","6679715","2545948","6679714",Mäkkyläntie,Mäkkylävägen,Mäkkylän puistotie,Mäkkyläallen,"1","1","1","04",24.8255786800,60.2263268500
"5252","2113214",E1140,P,"2545574","6679305","2545575","6679305",Postipuunmäki,Postträdsbacken,Armas Launiksen Katu,Armas Launis gata,"1","1","1","04",24.8190637400,60.2226871300
"5253","2113215",E1142,P,"2546390","6679869","2546389","6679869",Kenttäpäällikönpuist,Fältchefsparken,Kenttämiehentie,Fältmannavägen,"1","1","1","04",24.8339133600,60.2276570400
"5254","2113219",E1141,P,"2546337","6679164","2546346","6679179",Ruutikellarintie,Krutkällarvägen,Mäkkylän puistotie,Mäkkyläallén,"0","0","1","04",24.8327966300,60.2213360900
"5255","2113237",E1143,P,"2546738","6679592","2546732","6679608",Sotarovastintie,Fältprostvägen,Sotarovastintie,Fältprostvägen,"0","0","1","04",24.8401288300,60.2251315400
"5256","2113238",E1144,P,"2546488","6679611","2546499","6679621",Sotatuomari,Auditören,Sotarovastintie,Fältprostvägen,"1","1","1","04",24.8356226900,60.2253305300
"5257","2113239",E1145,P,"2546449","6679707","2546443","6679693",Sotatuomari,Auditören,Mäkkyläntie,Mäkkylävägen,"1","1","1","04",24.8349409500,60.2261964900
"5258","2113240",E1146,P,"2546068","6679665","2546063","6679678",Sotaneuvoksentie,Krigsrådsvägen,Mäkkyläntie,Mäkkylävägen,"1","1","1","04",24.8280572500,60.2258626300
"5259","2113241",E1147,P,"2546109","6679714","2546116","6679699",Sotaneuvoksentie,Krigsrådsvägen,Mäkkyläntie,Mäkkylävägen,"1","1","1","04",24.8288080800,60.2262977600
"5260","2113242",E1148,P,"2545927","6679725","2545916","6679728",Mestarinsilta,Mästarbron,Kehä I,Ring I,"1","1","1","01",24.8255268100,60.2264169400
"5261","2113243",E1149,P,"2545945","6679906","2545955","6679898",Mestarinsilta,Mästarbron,Kehä I,Ring I,"1","1","1","01",24.8258924200,60.2280392800
"5262","2113244",E1150,P,"2545948","6679657","2545976","6679650",Mäkkylänkuja,Mäkkylägränden,Mäkkyläntie,Mäkkylävägen,"0","0","1","04",24.8258903600,60.2258043200
"5263","2113245",E1151,P,"2546291","6679237","2546281","6679221",Ruutikellarintie,Krutkällarvägen,Mäkkylän puistotie,Mäkkyläallén,"1","1","1","04",24.8319833900,60.2219964300
"5264","2113291",E1153,P,"2546011","6679434","2545999","6679421",Mäkkylän puistotie,Mäkkyläallén,Mäkkylän puistotie,Mäkkyläallén,"1","1","1","02",24.8269766300,60.2237959500
"5265","2113292",E1154,P,"2546001","6679391","2546015","6679407",Mäkkylän puistotie,Mäkkyläallén,Mäkkylän puistotie,Mäkkyläallén,"1","1","1","02",24.8267865100,60.2234111700
"5266","2113900",XE1133,P,"2545544","6679274","2545543","6679276",Lvaaran Palvelutalo,Alberga Servicehus,A. Launiksenkatu 9,Armas Launis Gata 9,"0","0","0","99",24.8185155900,60.2224122600
"5267","2114201",E1901,P,"2544672","6680163","2544672","6680164",Tikankolo,Hackspettsboet,Lintukorpi,Fågelkärret,"1","1","1","04",24.8029792500,60.2304866200
"5268","2114202",E1902,P,"2544782","6680196","2544780","6680197",Tiaisentie,Mesvägen,Lintukorpi,Fågelkärret,"1","1","1","04",24.8049714600,60.2307707600
"5269","2114203",E1903,P,"2544769","6680198","2544770","6680196",Tiaisentie,Mesvägen,Lintukorpi,Fågelkärret,"1","1","1","04",24.8047373100,60.2307901300
"5270","2114204",E1904,P,"2545199","6680586","2545223","6680622",Uuttu,Uuttu,Lintukulma,Fågelhörnet,"0","0","1","04",24.8125828800,60.2342249500
"5271","2114206",E1905,P,"2545011","6680774","2545020","6680785",Lintuparvenaukio,Fågelflocksplatsen,Lintuparventie,Fågelflocksvägen,"1","1","1","02",24.8092316300,60.2359328600
"5272","2114208",E1913,P,"2545308","6680610","2545308","6680594",Linnuntie,Fågelvägen,Linnuntie,Fågelvägen,"1","1","1","04",24.8145553500,60.2344282800
"5273","2114209",E1961,P,"2545292","6680580","2545291","6680594",Linnuntie,Fågelvägen,Linnuntie,Fågelvägen,"1","1","1","04",24.8142599200,60.2341608200
"5274","2114211",E1942,P,"2545276","6680785","2545252","6680784",Lintumetsänpiha,Fågelskogsgården,Pohjoinen Lintuv.tie,Norra Fågelbergav.,"0","0","1","04",24.8140167800,60.2360023500
"5275","2114214",E1906,P,"2545231","6680813","2545253","6680814",Lintumetsänpiha,Fågelskogsgården,Pohjoinen Lintuv.tie,Norra Fågelbergav.,"0","0","1","04",24.8132108400,60.2362586100
"5276","2114218",E1907,P,"2545271","6680287","2545263","6680286",Pikkulinnunreitti,Småfågelsstråket,Lintuvaarantie,Fågelbergavägen,"1","1","1","04",24.8138157600,60.2315336400
"5277","2114219",E1908,P,"2545251","6680260","2545264","6680261",Pikkulinnunreitti,Småfågelsstråket,Lintuvaarantie,Fågelbergavägen,"1","1","1","01",24.8134488500,60.2312935400
"5278","2114220",E1909,P,"2545268","6680546","2545258","6680545",Lintukulma,Fågelhörnet,Lintuvaarantie,Fågelbergavägen,"1","1","1","04",24.8138192300,60.2338583500
"5279","2114221",E1910,P,"2545239","6680472","2545259","6680473",Lintukulma,Fågelhörnet,Lintuvaarantie,Fågelbergavägen,"1","1","1","01",24.8132794200,60.2331974500
"5280","2114222",E1911,P,"2545231","6680213","2545199","6680206",Viserrystie,Kvittervägen,Lintukorpi,Fågelkärret,"1","1","1","04",24.8130775000,60.2308739500
"5281","2115202",E1976,P,"2546030","6680229","2546020","6680239",Mäkkylänmetsä,Mäkkyläskogen,Kutsuntatie,Uppbådsvägen,"1","1","1","04",24.8274991600,60.2309284600
"5282","2115204",E1916,P,"2545945","6680622","2545924","6680604",Lintulaakson koulu,Lintulaaksonkoulu,Nostoväentie,Lantvärnsvägen,"0","0","1","04",24.8260540500,60.2344649500
"5283","2115205",E1924,P,"2545998","6680242","2546010","6680230",Mäkkylänmetsä,Mäkkyläskogen,Kutsuntatie,Uppbådsvägen,"1","1","1","02",24.8269246500,60.2310487300
"5284","2115206",E1917,P,"2546005","6680281","2545984","6680302",Varusmiehentie,Beväringsvägen,Varusmiehentie,Beväringsvägen,"0","0","1","04",24.8270597900,60.2313979400
"5285","2115208",E1960,P,"2545703","6680634","2545698","6680620",Lintulaakson koulu,Lintulaakson koulu,Linnuntie,Fågelvägen,"1","1","1","04",24.8216893400,60.2345997400
"5286","2115209",E1956,P,"2545809","6680640","2545794","6680645",Lintulaakson koulu,Lintulaakson koulu,Lintulaaksontie,Fågeldalsvägen,"1","1","1","04",24.8236036900,60.2346417400
"5287","2115210",E1963,P,"2545745","6680551","2545760","6680550",Lintulaakson koulu,Lintulaakson koulu,Lintulaaksontie,Fågeldalsvägen,"1","1","1","04",24.8224286700,60.2338501800
"5288","2115211",E1980,P,"2545547","6680596","2545546","6680608",Kirkkalankuja,Kirkkalagränden,Linnuntie,Fågelvägen,"1","1","1","04",24.8188654800,60.2342761100
"5289","2115212",E1957,P,"2545508","6680618","2545510","6680603",Kirkkalankuja,Kirkkalagränden,Linnuntie,Fågelvägen,"1","1","1","02",24.8181665600,60.2344778900
"5290","2115214",E1965,P,"2545871","6680191","2545855","6680186",Reserviläisentie,Reservistvägen,Lintulaaksontie,Fågeldalsvägen,"1","1","1","04",24.8246214200,60.2306052900
"5291","2115249",E1921,P,"2545875","6680685","2545866","6680678",Nostoväenkuja,Lantvärnsgränden,Nostoväentie,Lantvärnsvägen,"0","0","1","04",24.8248049500,60.2350381900
"5292","2116201",E1974,P,"2546255","6680705","2546262","6680690",Lotankatu,Lottagatan,Painiityntie,Pajängsvägen,"1","1","1","01",24.8316675100,60.2351749000
"5293","2116202",E1975,P,"2546269","6680676","2546262","6680691",Lotankatu,Lottagatan,Painiityntie,Pajängsvägen,"1","1","1","04",24.8319135800,60.2349130600
"5294","2116203",E1977,P,"2546459","6680952","2546464","6680948",Kanttiinitie,Kantinvägen,Painiityntie,Pajvägen,"1","1","1","04",24.8354055900,60.2373684600
"5295","2116204",E1925,P,"2546274","6681364","2546262","6681342",Uusmäki,Nybacka,Sotilastorpantie,Soldattorpsvägen,"0","0","1","04",24.8321603100,60.2410868700
"5296","2116205",E1926,P,"2546130","6681273","2546157","6681282",Muskettitie,Muskötvägen,Sotilastorpantie,Soldattorpsvägen,"0","0","1","04",24.8295403700,60.2402864600
"5297","2116206",E1978,P,"2546480","6680961","2546475","6680964",Kanttiinitie,Kantinvägen,Painiityntie,Pajvägen,"1","1","1","04",24.8357866600,60.2374468400
"5298","2116208",E1927,P,"2546103","6681294","2546079","6681285",Muskettitie,Muskötvägen,Sotilastorpantie,Soldattorpsvägen,"0","0","1","04",24.8290577700,60.2404779700
"5299","2116209",E1928,P,"2545899","6681164","2545879","6681124",Krenatöörintie,Grenadjärsvägen,Sotilastorpantie,Soldattorpsvägen,"0","0","1","04",24.8253461600,60.2393342300
"5300","2116210",E1929,P,"2545930","6681167","2545922","6681173",Krenatöörintie,Grenadjärsvägen,Sotilastorpantie,Soldattorpsvägen,"0","0","1","04",24.8259063800,60.2393576800
"5301","2116211",E1923,P,"2546243","6680500","2546220","6680489",Heikunantie,Hejkonavägen,Painiityntie,Pajängsvägen,"1","1","1","04",24.8314043500,60.2333365100
"5302","2116212",E1922,P,"2546182","6680417","2546195","6680407",Heikunantie,Hejkonavägen,Painiityntie,Pajängsvägen,"1","1","1","02",24.8302846800,60.2325985200
"5303","2116218",E1930,P,"2546324","6681344","2546340","6681357",Uusmäki,Nybacka,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","01",24.8330582900,60.2409017200
"5304","2116283",E1931,P,"2546440","6681206","2546426","6681202",Hilapellontie,Ledåkersvägen,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","04",24.8351206500,60.2396501000
"5305","2116284",E1932,P,"2546413","6681177","2546431","6681182",Hilapellontie,Ledåkersvägen,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","02",24.8346266800,60.2393929100
"5306","2116285",E1933,P,"2546349","6681353","2546357","6681348",Uusmäki,Nybacka,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","04",24.8335116100,60.2409796600
"5307","2116286",E1934,P,"2546213","6681789","2546216","6681790",Alokastie,Rekrytvägen,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","04",24.8311558000,60.2449078700
"5308","2116287",E1935,P,"2546230","6681803","2546213","6681801",Alokastie,Rekrytvägen,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","04",24.8314658800,60.2450315900
"5309","2116288",E1936,P,"2546283","6682333","2546280","6682347",Lehtovuori,Lundberga,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"0","0","1","04",24.8325433400,60.2497820100
"5310","2116289",E1937,P,"2546274","6682353","2546282","6682350",Lehtovuori,Lundberga,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"0","0","1","04",24.8323854000,60.2499625100
"5311","2116290",E1938,P,"2546229","6681855","2546229","6681854",Rykmentinmäki,Regementsbacken,Vanha Hämeenkyläntie,Gamla Tavastbyvägen,"1","1","1","04",24.8314596500,60.2454983700
"5312","2117201",E1964,P,"2545769","6680996","2545754","6681021",Lintumetsä,Fågelskogen,Sotilastorpantie,Soldattorpsvägen,"0","0","1","04",24.8229618900,60.2378411000
"5313","2117202",E1966,P,"2545718","6680920","2545736","6680930",Lintumetsä,Fågelskogen,Lintulaaksontie,Fågeldalsvägen,"1","1","1","01",24.8220243100,60.2371647500
"5314","2117203",E1982,P,"2545679","6681058","2545667","6681053",Lintumetsä,Fågelskogen,Lintulaaksontie,Fågeldalsvägen,"1","1","1","04",24.8213514000,60.2384075700
"5315","2117204",E1983,P,"2545545","6681574","2545551","6681570",Helmipöllönmäki,Pärlugglebacken,Lintulaaksontie,Fågeldalsvägen,"1","1","1","04",24.8190483400,60.2430533000
"5316","2117205",E1984,P,"2545567","6681346","2545550","6681338",Helmipöllönkatu,Pärlugglegatan,Lintulaaksontie,Fågeldalsvägen,"1","1","1","04",24.8193943900,60.2410046900
"5317","2117206",E1985,P,"2545548","6681303","2545564","6681312",Helmipöllönkatu,Pärlugglegatan,Lintulaaksontie,Fågeldalsvägen,"1","1","1","02",24.8190418000,60.2406209000
"5318","2117222",E1943,P,"2545255","6681087","2545247","6681073",Kultarinta,Härmsångaren,Pohjoinen Lintuv.tie,Norra Fågelbergav.,"0","0","1","04",24.8137049500,60.2387149400
"5319","2117223",E1944,P,"2545237","6681086","2545247","6681086",Kultarinta,Härmsångaren,Pohjoinen Lintuv.tie,Norra Fågelbergav.,"0","0","1","04",24.8133798300,60.2387079600
"5320","2117224",E1945,P,"2545248","6681331","2545242","6681316",Sinirinta,Blåhaken,Pohjoinen Lintuv.tie,Norra Fågelbergav.,"0","0","1","04",24.8136328700,60.2409054800
"5321","2117225",E1946,P,"2545233","6681325","2545242","6681312",Sinirinta,Blåhaken,Pohjoinen Lintuv.tie,Norra Fågelbergav.,"0","0","1","04",24.8133607800,60.2408532900
"5322","2117226",E1947,P,"2544985","6681401","2544970","6681401",Jääskeläntie,Jääskelävägen,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8089010200,60.2415626900
"5323","2117227",E1948,P,"2544958","6681359","2544971","6681359",Jääskeläntie,Jääskelävägen,Hämeenkyläntie,Tavastbyvägen,"1","1","1","02",24.8084043600,60.2411887300
"5324","2117228",E1949,P,"2544975","6681751","2544961","6681750",Paikkalinnuntie,Stannfågelsvägen,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8087979000,60.2447048300
"5325","2117229",E1950,P,"2544950","6681707","2544962","6681708",Paikkalinnuntie,Stannfågelsvägen,Hämeenkyläntie,Tavastbyvägen,"1","1","1","02",24.8083368600,60.2443127100
"5326","2117230",E1951,P,"2544956","6682048","2544951","6682046",Muuttolinnunmäki,Flyttfågelsbacken,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8085205600,60.2473723200
"5327","2117231",E1952,P,"2544939","6681988","2544955","6681988",Muuttolinnunmäki,Flyttfågelsbacken,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8082003800,60.2468357300
"5328","2117232",E1953,P,"2544998","6680857","2544981","6680856",Lintuparvenaukio,Fågelflocksplatsen,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8090153600,60.2366791700
"5329","2117234",E1954,P,"2544996","6681180","2544976","6681180",Lintuvaaran koulu,Lintuvaaran koulu,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8090506900,60.2395781300
"5330","2117235",E1955,P,"2544959","6681151","2544977","6681151",Lintuvaaran koulu,Lintuvaaran koulu,Hämeenkyläntie,Tavastbyvägen,"1","1","1","04",24.8083764400,60.2393219400
"5331","2118201",E1155,P,"2545972","6678190","2545986","6678189",Everstinkatu,Överstegatan,Majurinkatu,Majorsgatan,"1","1","1","02",24.8259923100,60.2126361600
"5332","2118202",E0666,P,"2546590","6678463","2546589","6678463",Vermon ravirata,Vermo travbana,Majurinkuja,Majurgränden,"0","0","1","04",24.8372003800,60.2150163300
"5333","2118203",E1156,P,"2545995","6678141","2545983","6678144",Everstinkatu,Överstegatan,Majurinkatu,Majorsgatan,"1","1","1","02",24.8263960500,60.2121938300
"5334","2118204",E1157,P,"2545971","6678007","2545950","6678013",Majurinkulma,Majorshörnet,Majurinkatu,Majorsgatan,"1","1","1","02",24.8259329900,60.2109939500
"5335","2118205",E1158,P,"2545885","6677990","2545882","6677977",Majurinkulma,Majorshörnet,Itsehallintotie,Självstyrelsevägen,"1","1","1","02",24.8243782300,60.2108510300
"5336","2118206",E1971,P,"2545992","6677931","2545994","6677949",Majurinkulma,Majorshörnet,Itsehallintotie,Självstyrelsevägen,"1","1","1","01",24.8262945600,60.2103095400
"5337","2118207",E1972,P,"2546223","6678078","2546223","6678053",Tarvaspääntie,Tarvaspäävägen,Itsehallintotie,Självstyrelsevägen,"1","1","1","04",24.8304937100,60.2116027700
"5338","2118208",E1973,P,"2546229","6678033","2546229","6678052",Tarvaspääntie,Tarvaspäävägen,Itsehallintotie,Självstyrelsevägen,"1","1","1","01",24.8305917100,60.2111982500
"5339","2118209",E1180,P,"2546339","6678670","2546339","6678660",Vermontie,Vermovägen,Perkkaantie,Bergansvägen,"1","1","1","01",24.8327203300,60.2169025100
"5340","2118210",E1181,P,"2546445","6678592","2546447","6678592",Vermontie,Vermovägen,Vermontie,Vermovägen,"1","1","1","04",24.8346145200,60.2161905000
"5341","2118211",E1183,P,"2546491","6678359","2546493","6678359",Kaarlo Sarkian katu,Kaarlo Sarkias gata,Vermontie,Vermovägen,"1","1","1","04",24.8353910600,60.2140942500
"5342","2118212",E1182,P,"2546500","6678384","2546494","6678384",Kaarlo Sarkian katu,Kaarlo Sarkias gata,Vermontie,Vermovägen,"1","1","1","01",24.8355590800,60.2143175900
"5343","2118213",E1185,P,"2546401","6678131","2546404","6678126",Tarvonsalmenkatu,Tarvosundsgatan,Vermontie,Vermovägen,"1","1","1","04",24.8337159200,60.2120582900
"5344","2118214",E1184,P,"2546422","6678122","2546415","6678133",Tarvonsalmenkatu,Tarvosundsgatan,Vermontie,Vermovägen,"1","1","1","01",24.8340925900,60.2119751400
"5345","2118221",E1159,P,"2545597","6678166","2545598","6678182",Yhdyskunnanmäki,Samhällsbacken,Säterinkatu,Säterigatan,"1","1","1","01",24.8192237700,60.2124626900
"5346","2118224",E1161,P,"2545577","6678197","2545577","6678183",Yhdyskunnanmäki,Samhällsbacken,Säterinkatu,Säterigatan,"1","1","1","01",24.8188700000,60.2127431300
"5347","2118264",E1162,P,"2545454","6678325","2545447","6678324",Säteri,Säteri,Kehä I,Ring I,"1","1","1","01",24.8166802200,60.2139055200
"5348","2118276",E1164,P,"2545988","6678548","2545992","6678535",Majurinpolku,Majorsgången,Majurinkatu,Majorsgatan,"1","1","1","04",24.8263616600,60.2158472100
"5349","2118277",E1165,P,"2546004","6678419","2545990","6678420",Majurinpolku,Majorsgången,Majurinkatu,Majorsgatan,"1","1","1","02",24.8266211200,60.2146877100
"5350","2118278",E1166,P,"2545911","6678666","2545912","6678679",Perkkaankuja,Bergansgränden,Perkkaantie,Bergansvägen,"1","1","1","01",24.8249994100,60.2169148300
"5351","2118279",E1167,P,"2546008","6678579","2545993","6678579",Kirjurinkuja,Skrivargränden,Majurinkatu,Majorsgatan,"0","0","1","99",24.8267294000,60.2161231700
"5352","2118280",E1168,P,"2545664","6678683","2545666","6678685",Komentajankatu,Kommendörsgatan,Perkkaantie,Bergansvägen,"1","1","1","01",24.8205479700,60.2170950100
"5353","2118284",E1169,P,"2545916","6678707","2545915","6678679",Perkkaankuja,Bergansgränden,Perkkaantie,Bergansvägen,"1","1","1","02",24.8250988400,60.2172822200
"5354","2118286",E1170,P,"2545519","6678827","2545510","6678823",Hevosenkenkä,Hästskon,Perkkaantie,Bergansvägen,"0","0","1","04",24.8179646900,60.2184034700
"5355","2118501",E1171,P,"2546876","6679160","2546879","6679155",Mäkkylä,Mäkkylä,Turuntie 12,Åbovägen 12,"1","1","4","04",24.8425191700,60.2212388400
"5356","2118551",E1172,P,"2546885","6679152","2546880","6679155",Mäkkylä,Mäkkylä,Turuntie 12,Åbovägen 12,"1","1","4","04",24.8426796800,60.2211660100
"5357","2118900",XE1131,P,"2546506","6678787","2546495","6678792",Vermo,Vermo,Perkkaantie 17,Bergansvägen 17,"0","0","0","99",24.8357592900,60.2179335900
"5358","2118901",XE1132,P,"2546447","6678750","2546452","6678744",Vermo,Vermo,Perkkaantie 16,Bergansvägen 16,"0","0","0","99",24.8346866100,60.2176082300
"5359","2118902",XE1130,P,"2546693","6678452","2546594","6678464",Vermon Ravirata,Vermo Travbanan,Ravitie 1,Travvägen 1,"0","0","0","99",24.8390556100,60.2149058800
"5360","2118903",XE1117,P,"2546485","6677808","2546485","6677808",Derby Business Park,Derby Business Park,Tarvonsalmenkatu 17,Tarvosundsgatan 17,"0","0","0","99",24.8351571700,60.2091500300
"5361","2121202",E1201,P,"2545413","6677308","2545409","6677309",Kurkijoentie,Kronoborgsvägen,Kehä I,Ring I,"1","1","1","01",24.8157141900,60.2047830600
"5362","2122201",E1202,P,"2545235","6677684","2545231","6677702",Leppäsolmu,Alknuten,Turunväylä,Åboleden,"1","1","1","01",24.8125881200,60.2081771400
"5363","2122204",E1203,P,"2545142","6677273","2545148","6677288",Laajalahden koulu,Laajalahden koulu,Kurkijoentie,Kronoborgsvägen,"0","0","1","02",24.8108200900,60.2044989000
"5364","2122205",E1204,P,"2545062","6677317","2545065","6677298",Laajalahden koulu,Laajalahden koulu,Kurkijoentie,Kronoborgsvägen,"0","0","1","02",24.8093873500,60.2049025800
"5365","2122206",E1205,P,"2544794","6677261","2544799","6677246",Raivaaja-aukio,Röjarplatsen,Antreantie,S:t Andreevägen,"1","1","1","02",24.8045427600,60.2044294000
"5366","2122207",E1206,P,"2544883","6677245","2544880","6677260",Raivaaja-aukio,Röjarplatsen,Kurkijoentie,Kronoborgsvägen,"0","0","1","02",24.8061439700,60.2042760600
"5367","2122208",E1207,P,"2544535","6677274","2544547","6677262",Jääskentie,Jääskisvägen,Antreantie,S:t Andreevägen,"1","1","1","04",24.7998756500,60.2045743000
"5368","2122209",E1208,P,"2544548","6677239","2544537","6677251",Jääskentie,Jääskisvägen,Antreantie,S:t Andreevägen,"1","1","1","04",24.8001024000,60.2042587800
"5369","2122210",E1209,P,"2544407","6677149","2544423","6677152",Koivistontie,Björkövägen,Ilmeentie,Ilmeevägen,"1","1","1","02",24.7975404900,60.2034663800
"5370","2122211",E1210,P,"2544434","6677172","2544419","6677168",Koivistontie,Björkövägen,Ilmeentie,Ilmeevägen,"1","1","1","02",24.7980323100,60.2036698600
"5371","2122212",E1211,P,"2544460","6676927","2544462","6676945",Ilmeentie,Ilmeevägen,Turvesuontie,Torvmossvägen,"1","1","1","04",24.7984477000,60.2014682900
"5372","2122213",E1212,P,"2544721","6676899","2544719","6676879",Kirvunristi,Kirvukorset,Turvesuontie,Torvmossvägen,"1","1","1","04",24.8031471500,60.2011886100
"5373","2122214",E1213,P,"2544752","6676729","2544737","6676733",Makslahdentie,Makslahtivägen,Muolaantie,Molavägen,"1","1","1","04",24.8036687500,60.1996595600
"5374","2122215",E1214,P,"2544708","6676678","2544724","6676676",Makslahdentie,Makslahtivägen,Muolaantie,Molavägen,"1","1","1","02",24.8028643400,60.1992066600
"5375","2122219",E1215,P,"2545378","6677257","2545381","6677256",Kurkijoentie,Kronoborgsvägen,Kehä I,Ring I,"1","1","1","01",24.8150717700,60.2043292400
"5376","2122220",E1216,P,"2545135","6676764","2545130","6676756",Turvesuontie,Torvmossvägen,Kehä I,Ring I,"1","1","1","01",24.8105812400,60.1999316600
"5377","2122221",E1217,P,"2545001","6676715","2545001","6676714",Turvesuontie,Torvmossvägen,Kehä I,Ring I,"1","1","1","01",24.8081546500,60.1995066500
"5378","2122222",E1218,P,"2544943","6676385","2544925","6676384",Laajaranta,Bredstranden,Kehä I,Ring I,"1","1","1","02",24.8070363400,60.1965514300
"5379","2122223",E1219,P,"2543407","6676935","2543421","6676965",Turvesuo,Torvmossen,Sinimäentie,Blåbackavägen,"0","0","1","04",24.7794646900,60.2016529700
"5380","2122224",E1220,P,"2544360","6676932","2544359","6676949",Ilmeentie,Ilmeevägen,Turvesuontie,Torvmossvägen,"1","1","1","04",24.7966458800,60.2015240000
"5381","2122225",E1221,P,"2544709","6676856","2544713","6676880",Kirvunristi,Kirvukorset,Turvesuontie,Torvmossvägen,"1","1","1","02",24.8029213800,60.2008040100
"5382","2122226",E1222,P,"2544349","6676968","2544350","6676948",Ilmeentie,Ilmeevägen,Turvesuontie,Torvmossvägen,"1","1","1","04",24.7964553800,60.2018482700
"5383","2122232",E1223,P,"2543168","6677059","2543176","6677075",Vehkaniitty,Missneängen,Sinimäentie,Blåbackavägen,"1","1","1","02",24.7751819300,60.2027910500
"5384","2131201",E1301,P,"2541705","6679479","2541731","6679477",Logen,Logen,Kilonväylä,Kilonväylä,"0","0","1","04",24.7492990600,60.2246610300
"5385","2131202",E1332,P,"2543827","6677678","2543828","6677701",Friisinmäenaukio,Frisbackaplatsen,Nuijalantie,Klobbskogsvägen,"1","1","1","01",24.7871966400,60.2082763400
"5386","2131203",E1333,P,"2543699","6677720","2543700","6677704",Friisinmäenaukio,Frisbackaplatsen,Nuijalantie,Klobbskogsvägen,"1","1","1","04",24.7848974300,60.2086669400
