FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY,X-koord.,Y-koord.
"824","1140107",H2065,P,"2551465","6675099","2551476","6675086",Töölön kisahalli,Tölö sporthall,Toivonkatu 1-3,Toivogatan 1-3,"1","1","1","04",24.9242767300,60.1842433400
"825","1140108",H2064,P,"2551490","6675080","2551482","6675091",Töölön kisahalli,Tölö sporthall,Toivonkatu,Toivogatan,"1","1","1","01",24.9247224200,60.1840696800
"826","1140109",H1329,P,"2551324","6675060","2551325","6675039",Ratikkamuseo,Spåramuseet,Eino Leinon katu 1-5,Eino Leinos gata 1-5,"1","1","1","04",24.9217262400,60.1839110200
"827","1140110",H1328,P,"2551220","6675021","2551219","6675036",Ratikkamuseo,Spåramuseet,Eino Leinon katu 10,Eino Leinos gata 10,"1","1","1","04",24.9198424900,60.1835740400
"828","1140111",H1287,P,"2550936","6675209","2550937","6675195",Kajanuksenkatu,Kajanusgatan,Linnankoskenkatu 13,Linnankoskigatan 13,"1","1","1","01",24.9147720800,60.1852965900
"829","1140112",H1288,P,"2550918","6675178","2550917","6675192",Kajanuksenkatu,Kajanusgatan,Linnankoskenkatu 16,Linnankoskigatan 16,"1","1","1","01",24.9144399900,60.1850206200
"830","1140113",H1289,P,"2550679","6675183","2550677","6675173",Lastenlinna,Barnets borg,Linnankoskenk. 25-27,Linnankoskig. 25-27,"1","1","1","01",24.9101345600,60.1850951200
"831","1140114",H1290,P,"2550670","6675157","2550673","6675174",Lastenlinna,Barnets borg,Linnankoskenkatu,Linnankoskigatan,"1","1","1","01",24.9099659300,60.1848629000
"832","1140115",H1914,P,"2551476","6675008","2551485","6675016",Töölön kisahalli,Tölö sporthall,Mannerheimintie 72,Mannerheimvägen 72,"1","1","1","01",24.9244519900,60.1834253000
"833","1140116",H1913,P,"2551425","6675108","2551417","6675102",Töölön kisahalli,Tölö sporthall,Mannerheimint. 21-23,Mannerheimv. 21-23,"1","1","1","01",24.9235582400,60.1843291200
"834","1140117",H1917,P,"2551058","6675678","2551047","6675669",Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 49,Mannerheimvägen 49,"1","1","1","04",24.9170878200,60.1894903300
"835","1140118",H1916,P,"2551042","6675640","2551058","6675652",Kansaneläkelaitos,Folkpensionsanst.,Mannerheimintie 102,Mannerheimvägen 102,"1","1","1","04",24.9167899600,60.1891513000
"836","1140119",H1331,P,"2551463","6674619","2551454","6674624",Töölöntori,Tölö torg,Runeberginkatu 57,Runebergsgatan 57,"1","1","1","04",24.9241196900,60.1799359600
"837","1140120",H1330,P,"2551374","6674468","2551390","6674466",Töölöntori,Tölö torg,Runeberginkatu 44,Runebergsgatan 44,"1","1","1","04",24.9224782200,60.1785920100
"838","1140121",H1282,P,"2551017","6674237","2551018","6674234",Taivallahti,Edesviken,Pohjoinen Hesperiank,Norra Hesperiagatan,"1","1","1","04",24.9159888000,60.1765635400
"839","1140122",H1310,P,"2551367","6674557","2551380","6674564",Töölöntori,Tölö torg,Topeliuksenkatu,Topeliusgatan,"1","1","1","04",24.9223744900,60.1793915900
"840","1140123",,P,"2550953","6674578","2550958","6674559",Sibeliuksenpuisto,Sibeliusparken,Kesäkatu,Sommargatan,"0","0","1","99",24.9149209300,60.1796317200
"841","1140124",,P,"2550881","6674248","2550906","6674254",Taivallahti,Edesviken,Merikannontie,Merikantovägen,"0","0","1","99",24.9135415200,60.1766791600
"842","1140125",H2070,P,"2551191","6675669","2551211","6675655",Jäähalli,Ishallen,Nordenskiöldinkatu,Nordenskiöldsgatan,"1","1","1","04",24.9194824800,60.1893929600
"843","1140126",H2069,P,"2551225","6675652","2551214","6675660",Jäähalli,Ishallen,Nordenskiöldinkatu,Nordenskiöldsgatan,"1","1","1","01",24.9200909600,60.1892361500
"844","1140127",H1309,P,"2551366","6674600","2551361","6674598",Töölöntori,Tölö torg,Topeliuksenkatu 3,Topeliusgatan 3,"1","1","1","04",24.9223673000,60.1797776100
"845","1140128",,P,"2551022","6674512","2551038","6674517",Sibeliuksenpuisto,Sibeliusparken,Mechelininkatu,Mechelingatan,"0","0","1","99",24.9161475800,60.1790308400
"846","1140129",H1313,P,"2551264","6674794","2551257","6674789",Töölön sairaala,Tölö sjukhus,Topeliuksenkatu,Topeliusgatan,"1","1","1","01",24.9205783100,60.1815313800
"847","1140130",H1314,P,"2551246","6674776","2551260","6674783",Töölön sairaala,Tölö sjukhus,Topeliuksenkatu,Topeliusgatan,"1","1","1","01",24.9202494700,60.1813721000
"848","1140131",H1315,P,"2551150","6675003","2551142","6674999",Töölön kirjasto,Tölö bibliotek,Topeliuksenkatu 17,Topeliusgatan 17,"1","1","1","04",24.9185766700,60.1834212400
"849","1140132",H1930,P,"2551702","6674939","2551700","6674948",Mäntymäen kenttä,Tallbacksfältet,Mäntymäen kenttä,Tallbacksfältet,"1","1","1","99",24.9285067200,60.1827776300
"850","1140133",H1319,P,"2551001","6675268","2550995","6675264",Kirjailijan puisto,Författarparken,Topeliuksenkatu,Topeliusgatan,"1","1","1","01",24.9159581000,60.1858179800
"851","1140134",H2363,P,"2551908","6675196","2551910","6675190",Kaupunginpuutarha,Stadsträdgården,Vauhtitie,Fartvägen,"0","0","1","99",24.9322838300,60.1850579600
"852","1140135",,P,"2551477","6675052","2551464","6675040",Töölön kisahalli,Tölö sporthall,Mannerheimintie,Mannerheimvägen,"0","0","1","99",24.9244811100,60.1838200400
"853","1140156",H1283,P,"2551029","6674625","2551018","6674621",Sibeliuksenpuisto,Sibeliusparken,Mechelininkatu,Mechelingatan,"1","1","1","01",24.9163019300,60.1800440600
"854","1140157",H1284,P,"2551004","6674604","2551011","6674652",Sibeliuksenpuisto,Sibeliusparken,Mechelininkatu,Mechelingatan,"1","1","1","01",24.9158462700,60.1798587100
"855","1140165",H1285,P,"2550994","6675024","2550976","6674944",Rajasaarentie,Råholmsvägen,Mechelininkatu 39,Mechelingatan 39,"1","1","1","04",24.9157710100,60.1836291400
"856","1140166",H1286,P,"2550951","6674954","2550976","6674951",Rajasaarentie,Råholmsvägen,Mechelininkatu,Mechelingatan,"1","1","1","01",24.9149787300,60.1830062900
"857","1140196",H2062,P,"2551728","6674867","2551718","6674879",Ooppera,Operan,Helsinginkatu 58,Helsingegatan 58,"1","1","1","01",24.9289569500,60.1821282100
"858","1140197",H1332,P,"2551524","6674735","2551526","6674732",Ooppera,Operan,Runeberginkatu,Runebergsgatan,"1","1","1","04",24.9252479900,60.1809693000
"859","1140199",H2185,P,"2551785","6674946","2551794","6674932",Ooppera,Operan,Helsinginkatu,Helsingegatan,"1","1","1","04",24.9300040100,60.1828299700
"860","1140201",H2065,P,"2551464","6675097","2551474","6675084",Töölön kisahalli,Tölö sporthall,Toivonkatu 1-3,Toivogatan 1-3,"0","0","1","04",24.9242582100,60.1842255100
"861","1140202",H1311,P,"2551346","6674643","2551339","6674640",Töölöntori,Tölö torg,Topeliuksenkatu,Topeliusgatan,"0","0","1","99",24.9220177800,60.1801660100
"862","1140203",H1329,P,"2551332","6675066","2551332","6675040",Ratikkamuseo,Spåramuseet,Eino Leinon katu 1-5,Eino Leinos gata 1-5,"0","0","1","99",24.9218719000,60.1839638600
"863","1140204",H1317,P,"2551063","6675166","2551057","6675162",Linnankoskenkatu,Linnankoskigatan,Topeliuksenkatu 25,Topeliusgatan,"0","0","1","99",24.9170498200,60.1848948900
"864","1140205",H1999,P,"2551617","6674877","2551605","6674868",Ooppera,Operan,Mannerheimintie,Mannerheimvägen,"1","1","1","01",24.9269594900,60.1822319400
"865","1140211",,P,"2550936","6675210","2550938","6675196",Kajanuksenkatu,Kajanusgatan,Linnankoskenkatu 13,Linnankoskigatan,"0","0","1","99",24.9147723300,60.1853055600
"866","1140212",,P,"2550949","6675181","2550947","6675197",Kajanuksenkatu,Kajanusgatan,Linnankoskenkatu 16,Linnankoskigatan 16,"0","0","1","99",24.9149993500,60.1850436900
"867","1140213",,P,"2550671","6675185","2550670","6675175",Lastenlinna,Barnets borg,Linnankoskenk 25-27,Linnankoskig. 25-27,"0","0","1","99",24.9099909000,60.1851140500
"868","1140214",,P,"2550684","6675157","2550686","6675173",Lastenlinna,Barnets borg,Linnankoskenkatu,Linnankoskigatan,"0","0","1","99",24.9102182100,60.1848611700
"869","1140215",H1912,P,"2551472","6675003","2551487","6675013",Töölön kisahalli,Tölö sporthall,Mannerheimintie 72,Mannerheimvägen 72,"0","0","1","99",24.9243786600,60.1833809300
"870","1140216",H1915,P,"2551405","6675145","2551390","6675137",Töölön kisahalli,Tölö sporthall,Mannerheimint. 21-23,Mannerheimv. 21-23,"1","1","1","01",24.9232071700,60.1846636800
